ticker,sector,bolsa,end,acciones_circulacion,activos_corrientes,activos_intangibles,activos_totales,amortizacion_intang,caja,cambio_capital_trab,cambio_cxc,cambio_inventario,capex,costo_ventas,cuentas_por_cobrar,cuentas_por_pagar,depreciacion,deuda_largo_plazo,ebitda_proxy,emision_acciones,fcf_financiero,fcf_inversor,fcf_operativo,gastos_id,gastos_operativos,gastos_sga,goodwill,impuestos_pagados,ingresos,ingresos_diferidos,inventario,otras_inversiones,pasivos_corrientes,patrimonio,ppe_neto,recompra_acciones,retained_earnings,stock_based_comp,utilidad_bruta,utilidad_neta,utilidad_operativa,fcf_promedio_futuro,Y,ano,burn_rate,runway,capital_trabajo,margen_bruto,margen_operativo,margen_neto,ratio_id,ratio_deuda,ratio_corriente,rotacion_activos,intensidad_capex
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2011-04-01,114723000.0,356099000.0,110700000.0,720598000.0,4800000.0,59672000.0,,10022000.0,2052000.0,4957000.0,70980000.0,111929000.0,22197000.0,,,,9570000.0,9570000.0,-38871000.0,-7683000.0,26149000.0,61942000.0,33564000.0,212214000.0,781000.0,,,58817000.0,,112172000.0,536752000.0,39597000.0,,-1876352000.0,6016000.0,61855000.0,516000.0,-87000.0,11469112.0,1.0,2011,7683000.0,7.766758,243927000.0,,,,,,3.17458,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2011-07-01,115670000.0,379471000.0,102979000.0,736361000.0,-1337000.0,70370000.0,,-5170000.0,-8998500.0,-27122000.0,-6313504.0,117861000.0,30594000.0,,,,9844000.0,-9260000.0,47188000.0,-8426000.0,138000.0,-3723504.0,-4750000.0,212210000.0,126000.0,,,61064000.0,244000.0,117823000.0,546430000.0,39678000.0,,-1875962000.0,311500.0,-4944996.0,2815500.0,-1221500.0,8440084.0,1.0,2011,8426000.0,8.351531,261648000.0,,,,,,3.220687,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2012-06-29,116203000.0,402503000.0,72874000.0,729737000.0,-4202500.0,92446000.0,,-16905500.0,-19493000.0,-10561000.0,-31192492.0,102748000.0,29857000.0,,,,-10685000.0,-19555500.0,43555000.0,-17000500.0,-11615000.0,-29673496.0,-16879000.0,212440000.0,527000.0,127347000.0,,68007000.0,,107778000.0,561041000.0,39568000.0,6953000.0,-1875600000.0,-3301000.0,-8204833.5,-5418666.5,-9117800.0,472792.0,1.0,2012,17000500.0,5.43784,294725000.0,-0.06442895,-0.071598075,-0.042550407,-0.09120749,,3.7345562,0.1745108,0.08293089
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2013-03-29,114336000.0,419453000.0,51414000.0,715144000.0,7033000.0,118464000.0,,10888000.0,-6832000.0,4274000.0,55507000.0,95692000.0,22815000.0,,,,2508000.0,-6760000.0,34403000.0,-5743000.0,25251000.0,61032000.0,33269000.0,197820000.0,,101672000.0,,46385000.0,,96684000.0,556059000.0,37201000.0,9268000.0,-1872605000.0,3899000.0,46165000.0,6421000.0,-14867000.0,1475583.5,1.0,2013,5743000.0,20.627546,322769000.0,0.45405814,-0.14622511,0.063154064,0.24835746,,4.338391,0.14216997,0.04203714
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2013-06-28,100920000.0,332182000.0,44642000.0,626990000.0,-4313500.0,83203000.0,,21758000.0,-4164000.0,-3854000.0,-41180000.0,86248000.0,22850000.0,,,,-2001000.0,-74855000.0,107659000.0,-51731000.0,-12868000.0,-26212496.0,-12500000.0,197857000.0,496000.0,117128000.0,,44381000.0,,95253000.0,469516000.0,37436000.0,72733000.0,-1876405000.0,-3242500.0,-230333.33,1986000.0,-3079000.0,7663334.0,1.0,2013,51731000.0,1.6083779,236929020.0,-0.0019665095,-0.026287481,0.01695581,-0.109862715,,3.4873655,0.18680999,0.032904174
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2014-06-27,92475000.0,275030000.0,18252000.0,532443000.0,-4131500.0,59173000.0,,15393000.0,7911000.0,-8102000.0,-33115504.0,79937000.0,24630000.0,,,,-1272000.0,55483000.0,-53326000.0,-26980000.0,-14540000.0,-33501496.0,-17254500.0,198099000.0,664000.0,,,30170000.0,,96987000.0,404809000.0,32781000.0,-61778000.0,-1884471000.0,-1536500.0,-6227330.5,-51207668.0,-748000.0,-516208.5,0.0,2014,26980000.0,2.1932173,178043000.0,,,,,,2.835741,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2015-07-03,88485000.0,245896000.0,7160000.0,489218000.0,-7932750.0,76049000.0,,187000.0,2205000.0,-2560000.0,-37392496.0,76079000.0,21286000.0,,,,5633500.0,86349000.0,-32631000.0,-33781000.0,-13550000.0,-34724004.0,-18782000.0,197903000.0,112000.0,,,32499000.0,,98305000.0,371216000.0,27087000.0,-80957000.0,-1891898000.0,-2692500.0,1945000.0,13536333.0,10449000.0,-10682500.0,0.0,2015,33781000.0,2.251236,147591000.0,,,,,,2.501358,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2015-10-02,87477000.0,226646000.0,5628000.0,466908000.0,1309250.0,61571000.0,,-10662000.0,7341000.0,2888000.0,37074000.0,64128000.0,16626000.0,,,,1443000.0,-8382000.0,-917000.0,-5024000.0,21679000.0,52488004.0,28966000.0,197825000.0,176000.0,,,39873000.0,,89291000.0,359868000.0,26619000.0,7836000.0,-1896709000.0,3827000.0,46230996.0,-4811000.0,-6257000.0,-13511750.0,0.0,2015,5024000.0,12.255374,137355000.0,,,,,,2.538285,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2015-12-31,76015000.0,286131000.0,4097000.0,524957020.0,3610000.0,126189990.0,,3698333.2,663333.3,7427333.5,84461670.0,69515000.0,19364000.0,,,,,110556500.0,-21439000.0,-21615500.0,43662332.0,107505990.0,59998000.0,197781000.0,307000.0,,,38819000.0,,84881000.0,328168000.0,27012000.0,59525004.0,-1903908000.0,7685333.5,78196800.0,-8891400.0,-8556667.0,-5660500.0,0.0,2015,21615500.0,5.83794,201250020.0,,,,,,3.3709664,,
HLIT,Radio & Tv Broadcasting & Communications Equipment,Nasdaq,2016-04-01,77311000.0,256443000.0,46042000.0,610693000.0,2365000.0,56995000.0,,10894000.0,51000.0,2664000.0,41178000.0,95477000.0,31774000.0,,22538000.0,,2074000.0,685000.0,-64802000.0,-5408000.0,23563000.0,61410000.0,32870000.0,237899000.0,314000.0,,,42415000.0,39206000.0,161870000.0,311273000.0,36781000.0,0.0,-1929088000.0,3094000.0,40654000.0,-25180000.0,-20756000.0,-5913000.0,0.0,2016,5408000.0,10.539017,94573010.0,,,,,0.036905613,1.5842528,,
