ticker,sector,prob_breakeven,end,fcf_operativo,burn_rate,retained_earnings,razones_favor,razones_contra
CRAI,Services-Legal Services,0.6441291847199538,2026-01-03,-27311000.0,27311000.0,211660000.0,"capex (+0.163), retained_earnings (+0.075), utilidad_operativa (+0.075)","ppe_neto (-0.065), gastos_sga (-0.034), utilidad_neta_lag4 (-0.018)"
WWW,"Footwear, (No Rubber)",0.6401793693250505,2026-01-03,-40100000.0,40100000.0,893900000.0,"capex (+0.111), retained_earnings (+0.083), utilidad_operativa (+0.065)","cambio_inventario (-0.158), gastos_sga (-0.036), fcf_inversor (-0.027)"
FIP,"Railroads, Line-Haul Operating",0.6373380234628605,2025-12-31,-2753000.0,2753000.0,-438640000.0,"ppe_neto (+0.160), pasivos_corrientes (+0.151), ratio_corriente (+0.108)","retained_earnings (-0.095), capex (-0.095), recompra_acciones (-0.056)"
EWCZ,Services-Personal Services,0.6363526856100215,2026-01-03,-3507000.0,3507000.0,-110878000.0,"recompra_acciones (+0.310), utilidad_operativa (+0.180), pasivos_corrientes (+0.084)","patrimonio (-0.100), retained_earnings (-0.097), ppe_neto (-0.077)"
SCHL,Books: Publishing or  Publishing & Printing,0.635705590200359,2026-02-28,-30500000.0,30500000.0,1032100000.0,"retained_earnings (+0.115), fcf_inversor (+0.097), pasivos_corrientes (+0.084)","capex (-0.116), gastos_sga (-0.077), utilidad_operativa (-0.043)"
MTUS,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",0.6350644987950436,2025-12-31,-1900000.0,1900000.0,-39300000.0,"utilidad_operativa (+0.128), ppe_neto (+0.088), pasivos_corrientes (+0.088)","retained_earnings (-0.063), capex (-0.050), recompra_acciones (-0.034)"
SPWR,Construction - Special Trade Contractors,0.6341274163519068,2025-09-28,-6356000.0,6356000.0,-442578000.0,"pasivos_corrientes (+0.126), cuentas_por_cobrar (+0.105), ratio_deuda (+0.069)","retained_earnings (-0.065), patrimonio (-0.062), capex (-0.055)"
RAMP,Services-Computer Processing & Data Preparation,0.6339242922379955,2025-12-31,-4681000.0,4681000.0,1388398000.0,"utilidad_operativa (+0.089), retained_earnings (+0.073), utilidad_bruta (+0.060)","capex (-0.053), ppe_neto (-0.051), caja (-0.043)"
FLXS,Household Furniture,0.6335737050640857,2025-12-31,-31858000.0,31858000.0,202221000.0,"retained_earnings (+0.134), gastos_sga (+0.109), utilidad_operativa (+0.081)","ppe_neto (-0.070), fcf_inversor (-0.041), recompra_acciones (-0.031)"
FLS,Pumps & Pumping Equipment,0.6318734332609492,2025-12-31,-173984.0,173984.0,4317965000.0,"retained_earnings (+0.121), utilidad_operativa (+0.077), cambio_inventario (+0.074)","gastos_sga (-0.064), ingresos (-0.034), capex (-0.032)"
NX,Rolling Drawing & Extruding of  Nonferrous Metals,0.6307789692934475,2026-01-31,-20208000.0,20208000.0,156963000.0,"ppe_neto (+0.093), retained_earnings (+0.090), utilidad_operativa (+0.081)","capex (-0.102), gastos_sga (-0.061), recompra_acciones (-0.056)"
ULCC,"Air Transportation, Scheduled",0.6300603684541002,2025-12-31,-91000000.0,91000000.0,6000000.0,"retained_earnings (+0.089), utilidad_operativa (+0.079), ppe_neto (+0.071)","recompra_acciones (-0.056), caja (-0.039), utilidad_neta_lag2 (-0.025)"
BRBR,Food and Kindred Products,0.6298852449043955,2025-12-31,-3100000.0,3100000.0,316300000.0,"utilidad_operativa (+0.083), ratio_deuda (+0.064), retained_earnings (+0.058)","cambio_inventario (-0.103), patrimonio (-0.062), ppe_neto (-0.059)"
ANDE,Wholesale-Farm Product Raw Materials,0.6295724658373265,2025-12-31,-6185008.0,6185008.0,978717000.0,"ppe_neto (+0.091), utilidad_operativa (+0.085), retained_earnings (+0.074)","cambio_inventario (-0.126), capex (-0.051), recompra_acciones (-0.046)"
AAL,"Air Transportation, Scheduled",0.6284192212620925,2025-12-31,-273999870.0,273999870.0,-6831000000.0,"ppe_neto (+0.140), utilidad_operativa (+0.110), pasivos_corrientes (+0.075)","patrimonio (-0.103), deuda_largo_plazo (-0.040), caja (-0.036)"
XOMA,Pharmaceutical Preparations,0.628259894539906,2025-12-31,-5501000.0,5501000.0,-1213866000.0,"utilidad_operativa (+0.278), utilidad_neta (+0.087), gastos_id (+0.043)","retained_earnings (-0.043), ppe_neto (-0.038), capex (-0.030)"
GCO,Retail-Shoe Stores,0.6264614226984564,2025-11-01,-12904000.0,12904000.0,218286000.0,"utilidad_operativa (+0.083), retained_earnings (+0.076), ppe_neto (+0.068)","cambio_inventario (-0.124), capex (-0.059), recompra_acciones (-0.048)"
ACHC,"Services-Specialty Outpatient Facilities, NEC",0.6226566888912862,2025-12-31,-86293010.0,86293010.0,411674000.0,"ppe_neto (+0.147), retained_earnings (+0.101), utilidad_operativa (+0.074)","capex (-0.124), recompra_acciones (-0.062), fcf_inversor (-0.041)"
CVGW,Agricultural Services,0.6198672399305336,2026-01-31,-8658000.0,8658000.0,24996000.0,"retained_earnings (+0.145), gastos_id (+0.051), utilidad_neta (+0.048)","capex (-0.078), gastos_sga (-0.035), fcf_inversor (-0.033)"
