ticker,sector,end,Y,ano_test,prob_breakeven
MATW,Nonferrous Foundries (Castings),2018-03-31,1.0,2018,0.813212543087352
MATX,Water Transportation,2018-06-30,1.0,2018,0.8914087432014803
MBUU,Ship & Boat Building & Repairing,2018-12-31,1.0,2018,0.7530220851638649
MCFT,Ship & Boat Building & Repairing,2018-12-30,1.0,2018,0.5729295949612929
MCRI,Hotels & Motels,2018-06-30,1.0,2018,0.8081179267388376
MCS,Services-Motion Picture Theaters,2018-06-28,1.0,2018,0.909551453143409
MD,Services-Hospitals,2018-03-31,0.0,2018,0.6390078079599217
MD,Services-Hospitals,2018-06-30,1.0,2018,0.6129055188694761
MDGL,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.16441886747707438
MDGL,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.16163297628870518
MDGL,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.13641101585353277
MDU,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),2018-06-30,0.0,2018,0.8169302383662878
MDXG,Surgical & Medical Instruments & Apparatus,2018-06-30,0.0,2018,0.5501731565383858
MEC,Metal Forgings & Stampings,2018-06-30,1.0,2018,0.7865362088005512
MED,Miscellaneous Food Preparations & Kindred Products,2018-06-30,1.0,2018,0.6752192021666792
MEDP,Services-Commercial Physical & Biological Research,2018-06-30,1.0,2018,0.8687988108007605
MEG,Services-Management Consulting Services,2018-12-31,1.0,2018,0.35652932226632666
MEI,Electronic Connectors,2018-10-27,1.0,2018,0.8535141194084598
MG,Services-Engineering Services,2018-06-30,1.0,2018,0.8076872659111884
MGM,Hotels & Motels,2018-06-30,1.0,2018,0.7223340025665173
MGNI,"Services-Computer Programming, Data Processing, Etc.",2018-03-31,0.0,2018,0.3086771399739031
MGNI,"Services-Computer Programming, Data Processing, Etc.",2018-06-30,1.0,2018,0.6002778800211486
MGNI,"Services-Computer Programming, Data Processing, Etc.",2018-09-30,1.0,2018,0.39425380783764263
MGNI,"Services-Computer Programming, Data Processing, Etc.",2018-12-31,1.0,2018,0.47067224113399136
MGPI,"Wholesale-Beer, Wine & Distilled Alcoholic Beverages",2018-06-30,0.0,2018,0.7184564569530515
MGRC,"Services-Equipment Rental & Leasing, NEC",2018-06-30,1.0,2018,0.7614705224186371
MGTX,"Biological Products, (No Diagnostic Substances)",2018-03-31,1.0,2018,0.2081829766809445
MGTX,"Biological Products, (No Diagnostic Substances)",2018-06-30,1.0,2018,0.39169608223120556
MGTX,"Biological Products, (No Diagnostic Substances)",2018-09-30,1.0,2018,0.2151061402000814
MGTX,"Biological Products, (No Diagnostic Substances)",2018-12-31,1.0,2018,0.2637497909087776
MHK,Carpets & Rugs,2018-06-30,1.0,2018,0.8170586098634263
MHO,Operative Builders,2018-03-31,1.0,2018,0.3493029955105293
MHO,Operative Builders,2018-09-30,1.0,2018,0.39573898172978383
MIDD,Refrigeration & Service Industry Machinery,2018-06-30,1.0,2018,0.8668757496398527
MIRM,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.17316807354574293
MIRM,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.1778865862210468
MITK,"Computer Peripheral Equipment, NEC",2018-03-31,1.0,2018,0.3240261855307758
MKSI,"Industrial Instruments For Measurement, Display, and Control",2018-06-30,1.0,2018,0.6584467759099726
MLAB,"Industrial Instruments For Measurement, Display, and Control",2018-09-30,1.0,2018,0.7540611599267488
MLI,Rolling Drawing & Extruding of  Nonferrous Metals,2018-03-31,1.0,2018,0.6174029595331774
MLI,Rolling Drawing & Extruding of  Nonferrous Metals,2018-06-30,1.0,2018,0.6254996674698567
MLKN,Office Furniture,2018-12-01,1.0,2018,0.8084727753719367
MLR,Truck & Bus Bodies,2018-03-31,1.0,2018,0.6799724086578238
MLR,Truck & Bus Bodies,2018-06-30,1.0,2018,0.7764806196149746
MMS,"Services-Business Services, NEC",2018-03-31,1.0,2018,0.7120059596004809
MMSI,Surgical & Medical Instruments & Apparatus,2018-06-30,1.0,2018,0.8387968164008937
MNKD,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.31686410788367025
MNKD,Pharmaceutical Preparations,2018-06-30,0.0,2018,0.3322238308634534
MNKD,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.31020802850427726
MNPR,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.13023071394114663
MNPR,Pharmaceutical Preparations,2018-06-30,0.0,2018,0.4324637164307672
