ticker,sector,end,Y,ano_test,prob_breakeven_oof
CLVT,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.7394208951387425
CMRC,Services-Prepackaged Software,2020-03-31,0.0,2020,0.16524849921744994
CMRC,Services-Prepackaged Software,2020-09-30,0.0,2020,0.25259641922704223
CMRC,Services-Prepackaged Software,2020-12-31,0.0,2020,0.40501584001941104
COUR,Services-Prepackaged Software,2020-03-31,1.0,2020,0.2970729423351589
COUR,Services-Prepackaged Software,2020-09-30,0.0,2020,0.44125177448310654
COUR,Services-Prepackaged Software,2020-12-31,1.0,2020,0.5415917358345569
CRDO,Semiconductors & Related Devices,2020-04-30,0.0,2020,0.7152472971380128
CRNC,Services-Prepackaged Software,2020-03-31,1.0,2020,0.7946131311684139
CRUS,Semiconductors & Related Devices,2020-09-26,0.0,2020,0.9561374817340906
CSGS,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.7012107232593336
CSGS,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.9056882758805151
CSPI,Services-Computer Integrated Systems Design,2020-03-31,1.0,2020,0.5117274159520706
CSPI,Services-Computer Integrated Systems Design,2020-09-30,1.0,2020,0.5402364649121534
CVLT,Services-Prepackaged Software,2020-09-30,1.0,2020,0.8230210179580857
CWAN,Services-Prepackaged Software,2020-12-31,0.0,2020,0.505948062857396
CXM,Services-Prepackaged Software,2020-10-31,0.0,2020,0.5182867521761806
DBX,Services-Prepackaged Software,2020-06-30,1.0,2020,0.8977749179145543
DDD,Services-Prepackaged Software,2020-03-31,0.0,2020,0.5988246288353226
DDD,Services-Prepackaged Software,2020-06-30,1.0,2020,0.8154665156195173
DDD,Services-Prepackaged Software,2020-09-30,1.0,2020,0.6169717296997621
DGII,Computer Communications Equipment,2020-03-31,1.0,2020,0.86186227627904
DIOD,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.8764186937714781
DMRC,Services-Computer Integrated Systems Design,2020-03-31,0.0,2020,0.17155258953561503
DMRC,Services-Computer Integrated Systems Design,2020-09-30,0.0,2020,0.1400766536695896
DMRC,Services-Computer Integrated Systems Design,2020-12-31,0.0,2020,0.20762107041230693
DOCN,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.7950471665976939
DOCS,Services-Computer Programming Services,2020-09-30,1.0,2020,0.5322253822357107
DOMO,Services-Prepackaged Software,2020-01-31,1.0,2020,0.7020365360561929
DOMO,Services-Prepackaged Software,2020-04-30,1.0,2020,0.6879335785138385
DOMO,Services-Prepackaged Software,2020-10-31,1.0,2020,0.637618276947428
DSP,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.5836605495909496
DT,Services-Prepackaged Software,2020-03-31,1.0,2020,0.6969703293919458
DV,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.7092477493420146
DXC,Services-Computer Processing & Data Preparation,2020-09-30,1.0,2020,0.7290406016902348
DXC,Services-Computer Processing & Data Preparation,2020-12-31,1.0,2020,0.6787034932764622
EGAN,Services-Prepackaged Software,2020-12-31,1.0,2020,0.7095139900822383
EGHT,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.6925871885602062
EGHT,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.49986706917949975
EGHT,Services-Computer Processing & Data Preparation,2020-12-31,1.0,2020,0.5633729333019808
ENPH,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.8217226243212413
EPAM,Services-Computer Programming Services,2020-06-30,1.0,2020,0.8172912916685813
ESE,"Communications Equipment, NEC",2020-03-31,1.0,2020,0.8911348285267486
ESTC,Services-Prepackaged Software,2020-01-31,1.0,2020,0.469412164648635
ESTC,Services-Prepackaged Software,2020-04-30,1.0,2020,0.5652895658846857
EVLV,"Computer Peripheral Equipment, NEC",2020-09-30,0.0,2020,0.4199287645865839
EVLV,"Computer Peripheral Equipment, NEC",2020-12-31,0.0,2020,0.2557676538753556
EVTC,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.9410854604473995
EXFY,Services-Prepackaged Software,2020-09-30,1.0,2020,0.5319914738058913
FA,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.7068400110970487
FDS,"Services-Computer Programming, Data Processing, Etc.",2020-02-29,1.0,2020,0.9256938833110784
FFIV,Computer Communications Equipment,2020-03-31,1.0,2020,0.9325914796888627
FIVN,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.6218207394750823
FORM,Semiconductors & Related Devices,2020-06-27,1.0,2020,0.9018959867905153
FSLY,Services-Prepackaged Software,2020-03-31,1.0,2020,0.426380007323301
FSLY,Services-Prepackaged Software,2020-12-31,0.0,2020,0.6281767756507972
GDYN,Services-Prepackaged Software,2020-03-31,0.0,2020,0.38082671134487334
GDYN,Services-Prepackaged Software,2020-06-30,1.0,2020,0.6168539574860574
GEN,Services-Prepackaged Software,2020-04-03,1.0,2020,0.5481744711221852
GRND,"Services-Computer Programming, Data Processing, Etc.",2020-12-31,1.0,2020,0.3308080384196753
GTLB,Services-Prepackaged Software,2020-01-31,0.0,2020,0.4454687027632977
GTLB,Services-Prepackaged Software,2020-10-31,0.0,2020,0.5873727242150124
GWRE,Services-Prepackaged Software,2020-01-31,0.0,2020,0.8703813329291907
GWRE,Services-Prepackaged Software,2020-10-31,0.0,2020,0.4389160828821074
HCAT,"Services-Computer Programming, Data Processing, Etc.",2020-03-31,0.0,2020,0.35492343507221497
HCAT,"Services-Computer Programming, Data Processing, Etc.",2020-09-30,0.0,2020,0.4572538394748146
HCAT,"Services-Computer Programming, Data Processing, Etc.",2020-12-31,0.0,2020,0.5684993941932468
HLIT,Radio & Tv Broadcasting & Communications Equipment,2020-03-27,1.0,2020,0.6608882793866437
HLIT,Radio & Tv Broadcasting & Communications Equipment,2020-06-26,1.0,2020,0.7605837100946801
HLIT,Radio & Tv Broadcasting & Communications Equipment,2020-09-25,1.0,2020,0.5918814237464927
HSTM,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.8559844276285535
IAC,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.8581706767975971
IAC,"Services-Computer Programming, Data Processing, Etc.",2020-12-31,1.0,2020,0.671352731672153
ICHR,Semiconductors & Related Devices,2020-03-27,1.0,2020,0.868294278263807
ICHR,Semiconductors & Related Devices,2020-06-26,1.0,2020,0.9409387703220575
IIIV,Services-Prepackaged Software,2020-03-31,1.0,2020,0.8731887401311353
IMMR,"Computer Peripheral Equipment, NEC",2020-03-31,1.0,2020,0.5399032060247304
INDI,Semiconductors & Related Devices,2020-06-30,0.0,2020,0.36198237599772354
INDI,Semiconductors & Related Devices,2020-09-30,0.0,2020,0.3508562777116422
INDI,Semiconductors & Related Devices,2020-12-31,0.0,2020,0.34128544264731975
INSE,Services-Prepackaged Software,2020-06-30,0.0,2020,0.7136576943911207
INTA,Services-Prepackaged Software,2020-06-30,0.0,2020,0.5605690697545955
INTA,Services-Prepackaged Software,2020-09-30,0.0,2020,0.32976057041160156
INTA,Services-Prepackaged Software,2020-12-31,1.0,2020,0.7142371127091901
IONQ,Services-Computer Integrated Systems Design,2020-09-30,0.0,2020,0.28381282323540713
IONQ,Services-Computer Integrated Systems Design,2020-12-31,0.0,2020,0.31099184477976527
IPGP,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.9443655338820778
JKHY,Services-Computer Integrated Systems Design,2020-12-31,1.0,2020,0.8803056539309887
KD,Services-Computer Integrated Systems Design,2020-09-30,0.0,2020,0.6998097673047381
KLIC,Semiconductors & Related Devices,2020-03-28,1.0,2020,0.8632907664283898
KLTR,Services-Prepackaged Software,2020-06-30,0.0,2020,0.7035560978163408
KOPN,Semiconductors & Related Devices,2020-03-28,1.0,2020,0.34969202870848903
KOPN,Semiconductors & Related Devices,2020-12-26,0.0,2020,0.5260753230413423
KULR,Electronic Components & Accessories,2020-03-31,0.0,2020,0.12344290345573106
KULR,Electronic Components & Accessories,2020-06-30,0.0,2020,0.24855857563372297
KULR,Electronic Components & Accessories,2020-09-30,0.0,2020,0.2302938395735873
KULR,Electronic Components & Accessories,2020-12-31,0.0,2020,0.3021756334264532
LASR,Semiconductors & Related Devices,2020-03-31,1.0,2020,0.6852851805871103
LAW,Services-Prepackaged Software,2020-06-30,0.0,2020,0.27283484886875864
LAW,Services-Prepackaged Software,2020-09-30,0.0,2020,0.23910812535751158
LAW,Services-Prepackaged Software,2020-12-31,0.0,2020,0.3901611563943329
LIF,Services-Computer Processing & Data Preparation,2020-12-31,0.0,2020,0.3269377433026259
LITE,"Communications Equipment, NEC",2020-12-26,1.0,2020,0.8936241342909845
LSCC,Semiconductors & Related Devices,2020-06-27,1.0,2020,0.8700682204196732
LZ,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.4686037163521267
MANH,Services-Prepackaged Software,2020-06-30,1.0,2020,0.889537798070598
MAPS,Services-Prepackaged Software,2020-03-31,1.0,2020,0.3181460102354553
MEI,Electronic Connectors,2020-10-31,0.0,2020,0.9367556942321384
MGNI,"Services-Computer Programming, Data Processing, Etc.",2020-03-31,0.0,2020,0.6998958463356261
MGNI,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.8330281052980215
MGNI,"Services-Computer Programming, Data Processing, Etc.",2020-09-30,1.0,2020,0.596147329525056
MITK,"Computer Peripheral Equipment, NEC",2020-03-31,1.0,2020,0.855240730526784
MVIS,"Electronic Components, NEC",2020-03-31,0.0,2020,0.18875521816585117
MVIS,"Electronic Components, NEC",2020-09-30,0.0,2020,0.17197813284953173
MVIS,"Electronic Components, NEC",2020-12-31,0.0,2020,0.2329822540619671
MXL,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.8083584368181398
MXL,Semiconductors & Related Devices,2020-09-30,1.0,2020,0.8124532658802006
MYPS,Services-Prepackaged Software,2020-06-30,1.0,2020,0.8515531200164943
