cik,nombre,sic,sic_descripcion,ticker,bolsa
926326,"OMNICELL, INC.",3571.0,Electronic Computers,OMCL,Nasdaq
69633,"NAPCO SECURITY TECHNOLOGIES, INC",3669.0,"Communications Equipment, NEC",NSSC,Nasdaq
1580808,"A10 Networks, Inc.",3576.0,Computer Communications Equipment,ATEN,NYSE
903651,INNODATA INC,7374.0,Services-Computer Processing & Data Preparation,INOD,Nasdaq
1569345,"Sprinklr, Inc.",7372.0,Services-Prepackaged Software,CXM,NYSE
1050377,PC CONNECTION INC,5045.0,Wholesale-Computers & Peripheral Equipment & Software,CNXN,Nasdaq
1288469,"MAXLINEAR, INC",3674.0,Semiconductors & Related Devices,MXL,Nasdaq
1873951,"Exzeo Group, Inc.",7372.0,Services-Prepackaged Software,XZO,NYSE
876167,PROGRESS SOFTWARE CORP /MA,7372.0,Services-Prepackaged Software,PRGS,Nasdaq
1819974,"SkyWater Technology, Inc",3674.0,Semiconductors & Related Devices,SKYT,Nasdaq
1120914,PDF SOLUTIONS INC,7372.0,Services-Prepackaged Software,PDFS,Nasdaq
1577526,"C3.ai, Inc.",7372.0,Services-Prepackaged Software,AI,NYSE
1288847,"Five9, Inc.",7374.0,Services-Computer Processing & Data Preparation,FIVN,Nasdaq
1603015,"Via Transportation, Inc.",7372.0,Services-Prepackaged Software,VIA,NYSE
1920294,REZOLVE AI PLC,7370.0,"Services-Computer Programming, Data Processing, Etc.",RZLV,Nasdaq
1526520,"TripAdvisor, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",TRIP,Nasdaq
1286139,"LEGALZOOM.COM, INC.",7374.0,Services-Computer Processing & Data Preparation,LZ,Nasdaq
1828016,Playtika Holding Corp.,7374.0,Services-Computer Processing & Data Preparation,PLTK,Nasdaq
851310,HARMONIC INC.,3663.0,Radio & Tv Broadcasting & Communications Equipment,HLIT,Nasdaq
1827090,"Certara, Inc.",7372.0,Services-Prepackaged Software,CERT,Nasdaq
1831651,"Shoals Technologies Group, Inc.",3674.0,Semiconductors & Related Devices,SHLS,Nasdaq
1651562,"Coursera, Inc.",7372.0,Services-Prepackaged Software,COUR,NYSE
70866,NCR Voyix Corp,3578.0,Calculating & Accounting Machines (No Electronic Computers),VYX,NYSE
1866692,"Amplitude, Inc.",7372.0,Services-Prepackaged Software,AMPL,Nasdaq
1753539,BlackSky Technology Inc.,3663.0,Radio & Tv Broadcasting & Communications Equipment,BKSY,NYSE
1834488,"N-able, Inc.",7372.0,Services-Prepackaged Software,NABL,NYSE
1805385,"Evolv Technologies Holdings, Inc.",3577.0,"Computer Peripheral Equipment, NEC",EVLV,Nasdaq
1616533,"Penguin Solutions, Inc.",3674.0,Semiconductors & Related Devices,PENG,Nasdaq
1784535,"Porch Group, Inc.",7372.0,Services-Prepackaged Software,PRCH,Nasdaq
918965,"SCANSOURCE, INC.",5045.0,Wholesale-Computers & Peripheral Equipment & Software,SCSC,Nasdaq
896429,"CANTALOUPE, INC.",3578.0,Calculating & Accounting Machines (No Electronic Computers),CTLP,Nasdaq
1828791,Viant Technology Inc.,7370.0,"Services-Computer Programming, Data Processing, Etc.",DSP,Nasdaq
1625278,"NERDWALLET, INC.",7374.0,Services-Computer Processing & Data Preparation,NRDS,Nasdaq
1830043,Bumble Inc.,7370.0,"Services-Computer Programming, Data Processing, Etc.",BMBL,Nasdaq
1728688,"i3 Verticals, Inc.",7372.0,Services-Prepackaged Software,IIIV,Nasdaq
1667011,"Arteris, Inc.",3674.0,Semiconductors & Related Devices,AIP,Nasdaq
1793663,VTEX,7372.0,Services-Prepackaged Software,VTEX,NYSE
1614178,"Yext, Inc.",7374.0,Services-Computer Processing & Data Preparation,YEXT,NYSE
807863,MITEK SYSTEMS INC,3577.0,"Computer Peripheral Equipment, NEC",MITK,Nasdaq
1568100,"PagerDuty, Inc.",7372.0,Services-Prepackaged Software,PD,NYSE
1387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674.0,Semiconductors & Related Devices,AOSL,Nasdaq
